origin,group,label,file
chars74k,GoodImg,8,chars74k_png/GoodImg/Sample8/img009-00029.png
chars74k,GoodImg,8,chars74k_png/GoodImg/Sample8/img009-00032.png
chars74k,GoodImg,8,chars74k_png/GoodImg/Sample8/img009-00020.png
chars74k,GoodImg,8,chars74k_png/GoodImg/Sample8/img009-00027.png
chars74k,GoodImg,8,chars74k_png/GoodImg/Sample8/img009-00022.png
chars74k,GoodImg,8,chars74k_png/GoodImg/Sample8/img009-00012.png
chars74k,GoodImg,8,chars74k_png/GoodImg/Sample8/img009-00031.png
chars74k,GoodImg,8,chars74k_png/GoodImg/Sample8/img009-00017.png
chars74k,GoodImg,8,chars74k_png/GoodImg/Sample8/img009-00026.png
chars74k,GoodImg,8,chars74k_png/GoodImg/Sample8/img009-00010.png
chars74k,GoodImg,8,chars74k_png/GoodImg/Sample8/img009-00019.png
chars74k,GoodImg,8,chars74k_png/GoodImg/Sample8/img009-00015.png
chars74k,GoodImg,8,chars74k_png/GoodImg/Sample8/img009-00025.png
chars74k,GoodImg,8,chars74k_png/GoodImg/Sample8/img009-00011.png
chars74k,GoodImg,8,chars74k_png/GoodImg/Sample8/img009-00009.png
chars74k,GoodImg,8,chars74k_png/GoodImg/Sample8/img009-00005.png
chars74k,GoodImg,8,chars74k_png/GoodImg/Sample8/img009-00023.png
chars74k,GoodImg,8,chars74k_png/GoodImg/Sample8/img009-00021.png
chars74k,GoodImg,8,chars74k_png/GoodImg/Sample8/img009-00004.png
chars74k,GoodImg,8,chars74k_png/GoodImg/Sample8/img009-00003.png
chars74k,GoodImg,8,chars74k_png/GoodImg/Sample8/img009-00028.png
chars74k,GoodImg,8,chars74k_png/GoodImg/Sample8/img009-00016.png
chars74k,GoodImg,8,chars74k_png/GoodImg/Sample8/img009-00018.png
chars74k,GoodImg,8,chars74k_png/GoodImg/Sample8/img009-00007.png
chars74k,GoodImg,8,chars74k_png/GoodImg/Sample8/img009-00002.png
chars74k,GoodImg,8,chars74k_png/GoodImg/Sample8/img009-00030.png
chars74k,GoodImg,8,chars74k_png/GoodImg/Sample8/img009-00013.png
chars74k,GoodImg,8,chars74k_png/GoodImg/Sample8/img009-00008.png
chars74k,GoodImg,8,chars74k_png/GoodImg/Sample8/img009-00024.png
chars74k,GoodImg,8,chars74k_png/GoodImg/Sample8/img009-00014.png
chars74k,GoodImg,8,chars74k_png/GoodImg/Sample8/img009-00001.png
chars74k,GoodImg,8,chars74k_png/GoodImg/Sample8/img009-00006.png
chars74k,GoodImg,7,chars74k_png/GoodImg/Sample7/img008-00025.png
chars74k,GoodImg,7,chars74k_png/GoodImg/Sample7/img008-00007.png
chars74k,GoodImg,7,chars74k_png/GoodImg/Sample7/img008-00047.png
